Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-12-02 22:31:00.659,4,-1.52,10.26,4.6,0.07,0.1,-0.41,0.19,0.55,0.64,23.7,-33.94,-6.54
2025-11-24 13:36:37.995,3,-2.94,7.64,7.33,-0.59,-0.56,-0.44,0.38,0.35,0.41,29.57,-25.74,-19.89
2025-11-24 09:30:16.355,5,-1.91,5.42,9.71,-0.32,-0.01,-0.35,0.05,0.25,0.83,24.15,-22.93,-25.05
2025-11-24 14:59:53.908,7,-4.85,3.66,8.11,-0.31,-0.28,-0.24,-0.02,0.3,0.72,21.54,-15.15,-22.93
2025-11-30 11:52:05.163,1,-3.75,9.73,-0.09,1.03,-1.71,-0.03,0.61,-0.14,-0.5,-5.49,-86.59,-152.66
2025-11-24 14:44:42.110,5,-2.97,7.41,6.05,0.1,-0.15,-0.11,0.13,0.4,0.55,24.83,-14.81,-17.4
2025-11-30 13:29:53.170,3,-6.67,6.7,5.67,0.39,-0.32,0.38,-0.41,0.42,0.81,-61.69,-58.18,53.91
2025-11-24 17:08:28.194,7,-3.22,3.61,7.65,-0.34,-0.51,-0.36,0.02,0.25,0.82,14.85,-21.41,-29.14
2025-12-02 10:17:19.269,3,-5.74,3.34,8.09,0.4,-0.26,-0.42,-0.01,0.33,0.69,50.61,-23.36,-62.44
2025-11-29 21:11:29.066,5,-1.94,5.06,8.76,-0.11,0.03,0.11,0.01,0.33,0.88,15.56,-36.79,-13.48
2025-11-23 22:48:56.479,7,-1.91,3.71,8.67,0.14,0.05,-0.02,0.11,0.19,0.49,15.32,-8.89,-28.65
2025-11-24 17:17:34.118,6,-3.36,3.74,9.07,1.15,0.35,0.23,-0.01,0.27,0.72,20.89,-13.26,-26.64
2025-11-24 14:32:23.368,2,-2.41,5.82,7.83,-1.11,-1.42,0.0,0.12,0.31,0.78,18.64,-20.72,-19.52
2025-11-30 11:58:11.047,4,-2.99,10.4,1.36,0.39,-1.03,-0.85,0.67,-0.11,-0.33,5.64,-29.68,-10.71
2025-11-30 11:59:18.888,2,-4.97,8.32,3.13,0.21,-1.05,0.02,0.59,0.14,-0.26,14.33,-21.81,-20.06
2025-11-26 21:47:32.838,0,-1.05,3.42,8.95,0.29,0.09,0.02,0.1,-0.16,-0.93,-36.24,-42.58,-28.63
2025-11-24 14:52:31.781,3,-5.67,2.68,8.18,0.32,-1.0,-0.71,-0.01,0.4,0.4,29.21,-4.31,-15.86
2025-11-24 14:33:37.705,2,-2.35,7.17,7.41,0.16,0.55,0.08,0.17,0.38,0.72,21.9,-23.14,-14.57
2025-11-24 13:39:34.016,0,-1.6,6.45,8.16,-0.33,-0.31,-0.09,0.17,0.36,0.66,21.28,-23.64,-19.93
2025-11-30 12:07:25.247,7,-3.06,4.09,10.04,-0.42,-0.79,-0.41,0.25,0.05,-0.43,-1.35,-4.61,-42.3
2025-11-30 11:57:42.004,2,-1.38,10.18,1.25,0.12,0.12,-0.31,0.68,0.05,-0.22,10.5,-26.49,-12.69
2025-11-29 23:29:54.251,1,-4.29,6.19,6.27,-0.11,-0.57,-0.31,0.34,-0.17,-0.87,48.32,-71.93,-161.1
2025-11-24 09:15:35.059,7,-3.12,2.98,7.81,-0.2,-0.15,-0.17,0.21,0.12,-0.19,2.61,10.18,-46.71
