Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-24 00:09:00.492,1,0.03,4.77,8.18,0.11,0.12,-0.10,0.24,-0.13,-0.49,-40.84,-7.89,-48.23
2025-11-24 00:09:00.698,2,-0.26,4.98,9.45,0.14,-0.25,-0.03,0.24,-0.13,-0.50,-46.11,-10.97,-46.52
2025-11-24 00:09:00.923,3,0.07,5.04,8.75,-0.04,-0.45,-0.16,0.23,-0.14,-0.51,-39.69,-8.14,-47.64
2025-11-24 00:09:01.511,4,-0.59,5.40,8.25,-0.01,-0.26,-0.22,0.26,-0.13,-0.52,-31.56,-9.96,-44.01
2025-11-24 00:09:01.713,5,-0.46,4.93,8.66,-0.40,-0.66,-0.22,0.22,-0.15,-0.55,-30.75,-10.91,-41.40
2025-11-24 00:11:33.800,1,-0.63,2.69,9.47,0.04,0.13,0.00,0.14,-0.03,-0.40,18.96,-4.50,-71.48
2025-11-24 00:11:34.122,2,-0.72,3.09,8.71,0.14,0.21,-0.07,0.15,-0.02,-0.40,18.51,-5.34,-71.48
2025-11-24 00:11:34.315,4,-1.41,2.68,8.76,0.04,0.19,-0.06,0.15,-0.02,-0.40,18.36,-5.29,-70.74
2025-11-24 00:11:34.506,5,-0.39,2.87,10.24,0.15,-0.04,-0.01,0.15,-0.02,-0.40,18.21,-5.04,-70.82
2025-11-24 00:11:36.942,3,-0.66,3.00,9.30,0.14,-0.39,0.03,0.14,-0.02,-0.41,18.43,-5.10,-71.61
2025-11-24 00:11:37.866,6,-0.89,2.53,9.70,0.08,-0.43,-0.00,0.14,-0.03,-0.42,19.26,-4.63,-70.74
2025-11-24 00:11:38.188,5,-0.89,2.69,8.61,0.03,-0.03,0.03,0.14,-0.03,-0.43,17.16,-4.93,-71.83
2025-11-25 16:07:44.589,5,-0.35,4.97,8.77,-0.03,-0.07,0.01,0.27,0.04,0.05,-10.16,-17.38,-35.21
2025-11-25 16:07:45.039,4,-0.21,4.92,8.29,-0.07,-0.04,-0.01,0.26,0.03,0.05,-22.58,-22.29,-27.79
2025-11-25 16:07:45.715,8,-0.33,4.79,8.91,-0.00,-0.03,0.01,0.25,0.03,0.07,-23.91,-21.00,-28.95
2025-11-25 16:07:46.441,9,-0.20,4.72,8.74,0.04,-0.05,0.00,0.25,0.03,0.07,-31.93,-25.16,-24.88
2025-11-25 16:07:47.222,7,-0.26,4.76,8.45,-0.01,-0.02,0.03,0.25,0.03,0.07,-26.51,-23.19,-27.68
2025-11-25 16:07:47.646,0,-0.30,4.63,9.09,0.07,0.04,0.00,0.24,0.03,0.07,-25.67,-20.83,-27.92
2025-11-25 16:07:48.232,6,-0.56,4.72,8.89,0.02,-0.07,-0.05,0.25,0.05,0.07,-10.58,-16.37,-36.62
2025-11-25 16:07:48.810,3,-1.02,4.83,8.61,0.05,-0.13,0.03,0.25,0.05,0.05,-1.01,-13.86,-37.69
2025-11-25 16:07:49.815,2,-0.18,4.36,9.90,-0.13,0.09,-0.01,0.24,0.05,0.10,-15.79,-15.38,-35.63
2025-11-25 16:07:50.562,1,-0.94,4.54,9.31,-0.09,0.01,0.00,0.25,0.06,0.10,-9.62,-13.61,-36.75
2025-11-25 16:07:52.375,7,-0.45,4.26,9.17,-0.07,0.11,0.04,0.23,0.05,0.12,-19.24,-15.19,-36.13
2025-11-25 16:07:53.564,5,-0.51,4.47,8.60,-0.04,-0.06,0.07,0.23,0.05,0.12,-18.75,-13.97,-35.94
2025-11-25 16:07:55.353,0,0.32,3.49,8.55,0.13,0.17,0.09,0.19,0.01,0.13,-29.21,-13.80,-34.76
2025-11-25 16:07:56.610,9,0.35,3.79,8.95,0.03,0.07,0.10,0.20,0.02,0.13,-28.13,-14.10,-36.41
2025-11-25 16:07:57.946,3,0.34,3.89,9.32,-0.03,0.03,0.12,0.21,0.03,0.13,-27.64,-16.37,-36.21
2025-11-25 16:07:58.388,2,0.39,4.02,9.22,0.15,0.08,0.02,0.21,0.04,0.12,-24.17,-15.11,-35.87
2025-11-25 16:07:59.783,1,-0.85,3.94,8.93,0.09,0.16,-0.04,0.21,0.05,0.11,-18.96,-14.19,-35.14
2025-11-25 16:08:00.643,4,-0.03,3.54,8.75,0.12,0.13,0.05,0.20,0.03,0.11,-18.98,-13.88,-33.96
2025-11-25 16:08:01.212,7,-0.07,3.86,8.76,0.08,0.08,-0.05,0.21,0.03,0.11,-20.70,-15.47,-35.18
2025-11-25 16:08:01.455,8,-0.22,4.09,8.64,-0.17,-0.19,0.04,0.21,0.04,0.10,-21.96,-16.69,-34.13
2025-11-25 16:08:01.659,9,-0.22,3.90,8.82,-0.10,-0.29,0.10,0.21,0.02,0.10,-20.59,-15.39,-34.67
2025-11-25 16:08:02.237,0,0.39,3.62,8.81,-0.01,0.04,-0.01,0.19,0.00,0.12,-29.33,-15.39,-32.46
2025-11-25 16:08:02.631,6,-0.48,4.21,9.03,0.22,0.12,0.02,0.22,0.04,0.09,-20.31,-16.07,-35.33
2025-11-25 16:08:02.905,3,-1.92,5.29,8.88,0.20,-0.18,-0.02,0.25,0.07,0.07,-11.55,-15.73,-37.89
2025-11-25 16:08:03.225,1,-0.50,4.56,8.02,0.17,0.20,0.05,0.25,0.05,0.08,-13.46,-16.58,-34.67
2025-11-25 16:08:03.481,2,-1.87,5.26,8.68,0.13,-0.04,0.06,0.26,0.09,0.07,-7.24,-16.61,-37.84
2025-11-25 16:08:03.707,4,-1.03,4.80,7.95,0.03,-0.01,0.20,0.26,0.08,0.08,-9.04,-17.49,-38.87
2025-11-25 16:08:03.816,5,-1.13,4.83,8.34,-0.22,-0.20,0.03,0.25,0.08,0.09,-11.19,-17.78,-38.38
2025-11-25 16:08:04.025,8,-0.87,4.30,8.92,-0.06,-0.06,-0.00,0.23,0.05,0.09,-13.97,-16.48,-37.61
