Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-23 22:44:19.423,5,0.98,6.53,7.88,-0.09,0.03,0.05,0.10,-0.35,-0.83,3.92,-21.17,-29.21
2025-11-23 22:44:20.762,8,1.30,6.25,7.85,-0.40,-0.27,0.03,0.04,-0.35,-0.88,-1.13,-22.13,-23.49
2025-11-23 22:44:21.716,9,1.67,6.34,7.06,-0.17,-0.02,0.02,0.02,-0.35,-0.89,3.06,-20.57,-29.93
2025-11-23 22:44:22.322,0,1.94,5.93,9.07,-0.02,-0.10,0.09,0.02,-0.34,-0.89,1.56,-20.76,-29.12
2025-11-23 22:44:23.421,3,1.34,7.09,7.06,-0.14,-0.08,-0.01,0.27,0.28,0.77,5.08,-22.82,-28.74
2025-11-23 22:44:23.798,5,0.92,6.87,7.97,-0.40,0.02,0.07,0.29,0.25,0.74,3.88,-22.46,-29.34
2025-11-23 22:44:24.331,8,1.09,6.71,7.38,-0.32,-0.21,0.04,0.30,0.23,0.71,4.73,-20.64,-29.12
2025-11-23 22:44:24.781,6,1.46,6.99,7.03,-0.24,-0.16,-0.00,0.30,0.24,0.72,5.48,-21.43,-27.47
2025-11-23 22:44:25.257,4,0.82,7.08,7.33,-0.01,0.07,0.03,0.27,0.27,0.74,6.84,-21.92,-28.16
2025-11-23 22:44:26.347,0,1.37,6.57,7.10,-0.08,0.04,0.02,0.34,0.15,0.56,3.39,-23.51,-27.99
2025-11-23 22:44:26.802,9,1.53,6.66,6.79,-0.17,-0.12,0.01,0.34,0.15,0.56,0.49,-24.00,-24.64
2025-11-23 22:45:07.381,1,2.13,6.77,8.19,0.01,-0.03,0.00,0.33,0.18,0.62,-0.58,-21.23,-26.14
2025-11-23 22:45:08.219,9,0.99,7.08,6.76,-0.16,0.08,-0.01,0.32,0.23,0.63,6.79,-20.16,-26.81
2025-11-23 22:45:08.615,0,0.83,6.81,6.76,0.06,-0.03,0.00,0.31,0.22,0.62,7.35,-19.56,-28.18
2025-11-23 22:45:08.795,7,1.19,6.98,7.63,0.20,0.11,0.00,0.33,0.20,0.58,6.92,-19.33,-27.45
2025-11-23 22:45:09.220,6,-0.19,7.98,5.13,-0.31,-0.15,-0.01,0.34,0.28,0.61,8.19,-22.05,-23.48
2025-11-23 22:45:09.520,4,1.62,7.30,6.85,-0.01,-0.01,-0.01,0.35,0.21,0.60,6.81,-21.11,-25.65
2025-11-23 22:46:42.409,9,-1.61,7.15,4.57,0.16,-0.20,-0.33,0.11,0.43,0.87,11.21,-20.21,-22.76
2025-11-23 22:46:43.165,4,2.98,8.06,5.87,0.20,0.30,0.11,0.33,0.32,0.77,3.58,-21.19,-23.70
2025-11-23 22:46:43.396,4,2.44,7.30,6.13,0.02,0.17,-0.06,0.41,0.20,0.59,2.70,-22.69,-25.09
2025-11-23 22:46:43.872,7,2.10,7.67,6.24,0.05,0.20,0.00,0.42,0.17,0.53,0.92,-25.18,-22.99
2025-11-23 22:46:44.148,8,1.71,7.60,5.91,-0.22,0.34,0.05,0.42,0.18,0.53,2.31,-25.82,-23.31
2025-11-23 22:46:44.589,6,1.42,7.92,5.42,-0.44,0.23,-0.01,0.42,0.21,0.55,2.51,-25.74,-20.85
2025-11-23 22:46:45.155,8,1.18,7.62,5.66,-0.39,-0.18,-0.00,0.41,0.20,0.54,3.99,-25.56,-20.31
2025-11-23 22:46:45.523,9,2.30,7.46,5.58,0.12,-0.37,0.17,0.42,0.15,0.54,1.13,-23.87,-26.29
2025-11-23 22:46:45.755,1,3.44,7.10,5.89,0.05,-0.20,0.13,0.44,0.11,0.53,-2.12,-24.60,-23.87
2025-11-23 22:46:46.053,2,4.00,7.38,6.18,-0.06,0.01,-0.01,0.46,0.08,0.52,-3.28,-22.80,-25.31
2025-11-23 22:46:46.422,8,2.51,7.54,4.84,-0.12,0.21,-0.04,0.45,0.13,0.55,-0.81,-24.13,-22.71
2025-11-23 22:46:46.656,5,3.95,7.84,5.63,0.04,0.32,0.07,0.45,0.11,0.53,-0.06,-21.56,-24.08
2025-11-23 22:46:47.438,3,-2.41,8.46,3.12,0.32,-0.63,0.05,0.34,0.38,0.51,15.88,-23.57,-15.51
2025-11-23 22:46:47.730,0,0.18,7.97,5.69,0.17,-0.00,0.03,0.37,0.25,0.46,11.36,-21.15,-22.18
2025-11-23 22:46:48.097,9,-0.78,6.98,6.82,0.18,-0.10,0.08,0.33,0.22,0.46,13.29,-18.49,-27.30
2025-11-23 22:46:48.239,7,0.08,7.44,7.41,0.51,0.16,0.22,0.35,0.22,0.45,12.39,-19.48,-25.03
2025-11-23 22:46:48.505,8,0.27,7.86,5.56,-0.15,0.12,0.39,0.40,0.22,0.48,8.18,-23.49,-23.10
2025-11-23 22:46:48.621,4,1.44,7.92,6.06,0.15,0.25,-0.00,0.41,0.21,0.48,8.83,-23.66,-22.56
2025-11-23 22:46:48.877,5,0.36,8.17,4.59,-0.17,-0.11,-0.02,0.42,0.25,0.50,8.93,-24.41,-20.21
2025-11-23 22:46:49.163,6,0.47,8.13,5.83,-0.31,-0.52,0.24,0.41,0.22,0.50,8.36,-23.12,-22.39
2025-11-23 22:46:49.460,2,2.36,8.23,6.57,-0.20,0.12,-0.05,0.42,0.15,0.49,3.75,-23.72,-24.04
2025-11-23 22:48:22.161,4,1.62,6.15,7.77,0.26,0.03,0.21,0.05,-0.36,-0.88,2.16,-21.39,-27.71
2025-11-23 22:48:22.473,5,0.01,7.29,6.59,-0.21,0.25,-0.05,0.11,-0.37,-0.85,6.47,-22.44,-23.57
2025-11-23 22:48:22.719,6,0.41,6.95,6.98,-0.13,0.14,-0.04,0.12,-0.36,-0.85,6.94,-21.38,-23.87
2025-11-23 22:48:22.904,6,0.56,7.17,7.20,-0.25,-0.12,-0.09,0.11,-0.36,-0.86,2.25,-24.36,-19.16
2025-11-23 22:48:23.203,0,1.00,6.71,7.00,0.04,-0.10,0.04,0.08,-0.37,-0.87,6.04,-19.52,-26.61
2025-11-23 22:48:23.362,7,1.45,6.66,7.62,0.01,0.13,-0.02,0.07,-0.36,-0.88,4.28,-21.08,-28.39
2025-11-23 22:48:23.612,8,0.67,6.92,6.75,-0.30,0.23,0.04,0.09,-0.38,-0.86,7.46,-20.48,-25.33
2025-11-23 22:48:23.772,4,1.40,7.04,8.21,0.29,0.25,0.08,0.08,-0.37,-0.86,6.45,-19.74,-26.42
2025-11-23 22:48:24.031,6,0.85,7.06,6.21,-0.08,0.09,-0.01,0.10,-0.39,-0.85,6.77,-21.75,-25.50
2025-11-23 22:48:24.389,8,1.50,6.76,6.33,-0.08,-0.12,0.05,0.07,-0.39,-0.85,3.41,-21.56,-25.31
2025-11-23 22:48:24.613,8,2.97,6.67,6.55,-0.11,-0.43,0.12,-0.09,-0.40,-0.90,-0.06,-20.61,-25.99
2025-11-23 22:48:24.722,2,4.14,6.70,7.00,0.13,-0.37,-0.08,-0.11,-0.39,-0.90,-2.55,-21.68,-27.21
2025-11-23 22:48:25.030,3,4.08,7.04,6.32,0.10,-0.40,0.07,-0.17,-0.41,-0.89,-4.05,-22.01,-24.84
2025-11-23 22:48:25.236,3,4.21,7.25,6.37,0.14,-0.32,0.00,0.23,0.38,0.90,-4.69,-20.40,-25.46
2025-11-23 22:48:25.596,8,2.59,7.09,5.57,0.07,0.49,-0.20,0.36,0.24,0.74,0.39,-21.79,-26.31
2025-11-23 22:48:25.797,8,2.25,7.11,6.47,-0.06,0.38,-0.09,0.36,0.23,0.70,0.06,-22.99,-24.43
2025-11-23 22:48:26.088,9,1.85,7.12,6.14,-0.15,0.21,-0.13,0.34,0.25,0.70,5.01,-21.99,-24.73
2025-11-23 22:48:26.255,4,1.62,7.22,6.44,0.30,0.15,0.09,0.32,0.26,0.70,5.31,-22.09,-25.84
2025-11-23 22:48:26.470,6,1.33,7.61,6.06,0.04,0.15,0.11,0.32,0.30,0.71,4.74,-24.58,-20.64
2025-11-23 22:48:26.713,5,0.96,7.67,6.10,0.05,0.19,-0.06,0.31,0.30,0.71,6.34,-23.12,-23.74
2025-11-23 22:48:26.896,7,1.40,7.09,6.54,-0.17,-0.24,-0.16,0.33,0.26,0.67,7.03,-21.84,-24.64
2025-11-23 22:48:27.046,8,0.74,7.12,6.53,-0.24,0.16,-0.03,0.34,0.23,0.62,8.27,-21.56,-24.66
2025-11-23 22:48:27.271,9,1.12,7.25,6.63,-0.35,0.04,0.02,0.36,0.21,0.59,6.09,-23.04,-26.10
2025-11-23 22:48:27.589,9,2.33,7.02,7.10,-0.02,0.00,0.09,0.37,0.18,0.57,2.74,-22.71,-27.19
2025-11-23 22:48:27.614,1,2.33,7.02,7.10,-0.02,0.00,0.09,0.37,0.18,0.57,2.74,-22.71,-27.19
2025-11-23 22:48:27.904,5,0.90,7.28,6.48,-0.03,-0.11,0.05,0.38,0.21,0.59,4.37,-22.13,-22.46
2025-11-23 22:48:28.188,2,3.48,7.05,5.96,-0.06,-0.04,-0.17,0.42,0.11,0.57,-2.68,-23.31,-25.14
2025-11-23 22:48:28.528,3,4.66,6.86,4.96,0.31,-0.64,0.16,0.46,0.06,0.55,-5.93,-23.23,-22.50
2025-11-23 22:48:28.737,3,4.52,7.12,4.98,-0.04,-0.06,-0.02,0.45,0.07,0.55,-3.51,-23.16,-23.46
2025-11-23 22:48:29.213,9,0.68,6.67,7.46,-0.17,0.39,-0.21,0.35,0.18,0.54,7.03,-20.10,-26.16
2025-11-23 22:48:29.487,9,0.51,6.89,6.97,-0.09,0.08,-0.05,0.33,0.20,0.54,6.60,-21.47,-26.06
2025-11-23 22:48:29.895,8,0.49,7.04,7.10,-0.17,0.11,0.01,0.33,0.20,0.53,7.93,-20.21,-26.46
2025-11-23 22:48:30.345,8,0.57,7.07,6.84,-0.08,0.09,-0.03,0.34,0.19,0.52,9.58,-19.35,-26.36
2025-11-23 22:48:31.371,6,1.55,7.23,6.15,0.02,0.06,0.00,0.38,0.18,0.53,3.30,-22.69,-22.33
2025-11-23 22:48:31.695,5,1.13,7.58,5.85,-0.26,0.17,-0.02,0.38,0.20,0.54,7.03,-21.84,-24.64
2025-11-23 22:48:32.653,8,1.35,7.06,6.53,-0.04,0.11,-0.02,0.37,0.17,0.52,6.36,-21.53,-25.67
2025-11-23 22:48:33.419,4,1.50,6.98,6.89,0.11,0.00,0.01,0.37,0.17,0.52,5.93,-21.30,-24.81
2025-11-23 22:48:35.045,5,1.10,7.26,6.49,-0.06,0.05,0.00,0.37,0.18,0.52,5.89,-21.81,-26.04
2025-11-23 22:48:35.351,4,1.48,7.31,6.52,0.08,0.01,-0.04,0.37,0.18,0.52,7.46,-20.48,-25.63
2025-11-23 22:48:35.476,6,1.13,7.20,6.20,-0.03,0.03,-0.00,0.37,0.18,0.52,5.25,-23.38,-25.35
2025-11-23 22:48:35.694,6,1.11,7.15,6.49,0.00,-0.02,0.01,0.37,0.18,0.52,7.67,-20.25,-25.16
2025-11-23 22:48:35.885,6,1.37,7.17,6.42,0.01,-0.02,0.02,0.37,0.18,0.52,6.96,-21.23,-25.88
2025-11-23 22:48:36.160,5,1.35,7.21,6.33,-0.11,0.07,0.06,0.39,0.17,0.52,6.60,-20.66,-25.84
2025-11-23 22:48:36.319,1,2.08,7.16,6.35,-0.10,0.04,0.05,0.39,0.16,0.52,3.02,-23.10,-24.13
2025-11-23 22:48:36.751,6,1.14,7.01,6.69,-0.14,0.23,-0.14,0.36,0.17,0.53,6.17,-20.29,-26.66
2025-11-23 22:48:37.228,0,0.53,6.56,7.22,-0.08,0.09,-0.04,0.33,0.16,0.51,9.09,-17.72,-28.91
2025-11-23 22:48:37.644,8,0.59,6.97,6.72,-0.03,0.02,-0.03,0.34,0.18,0.51,8.72,-19.54,-26.25
2025-11-23 22:48:37.768,7,0.86,6.74,7.07,0.02,0.09,0.01,0.34,0.18,0.52,9.17,-19.93,-26.93
2025-11-23 22:48:38.009,9,0.79,6.77,6.87,-0.01,-0.02,0.00,0.34,0.18,0.51,6.53,-22.46,-26.29
2025-11-23 22:48:38.127,4,0.81,6.84,6.70,0.10,-0.01,0.05,0.34,0.18,0.52,6.64,-21.49,-27.43
2025-11-23 22:48:38.393,5,0.84,7.31,6.65,-0.18,0.17,0.04,0.36,0.20,0.53,8.49,-21.49,-23.53
2025-11-23 22:48:38.651,6,0.46,7.15,6.05,-0.23,-0.53,0.21,0.37,0.19,0.54,7.93,-22.11,-22.48
2025-11-23 22:48:38.818,1,2.38,6.95,6.32,-0.11,-0.60,0.14,0.40,0.13,0.52,3.58,-20.89,-25.91
2025-11-23 22:48:39.076,2,3.32,7.30,6.32,0.09,0.06,-0.01,0.43,0.09,0.51,0.23,-22.31,-25.76
2025-11-23 22:48:39.534,3,0.38,8.09,4.25,-0.10,-0.26,-0.03,0.37,0.27,0.57,8.46,-25.35,-21.77
2025-11-23 22:48:39.809,1,1.98,7.21,6.79,-0.11,-0.02,-0.11,0.38,0.18,0.54,5.63,-22.65,-23.78
2025-11-23 22:48:39.984,6,0.94,7.46,6.04,-0.08,-0.04,-0.07,0.37,0.19,0.54,6.53,-22.46,-27.34
2025-11-23 22:48:40.151,4,1.26,6.92,6.62,-0.24,-0.00,-0.06,0.35,0.18,0.53,6.75,-21.60,-25.09
2025-11-23 22:48:40.432,8,0.74,6.64,6.66,-0.05,0.28,-0.01,0.35,0.18,0.52,9.15,-20.57,-26.16
2025-11-23 22:48:40.701,9,0.93,6.91,6.96,0.10,-0.03,-0.00,0.35,0.18,0.52,9.15,-20.72,-24.62
2025-11-23 22:48:40.734,7,0.93,6.91,6.96,0.10,-0.03,-0.00,0.35,0.18,0.52,9.15,-20.72,-24.62
2025-11-23 22:48:41.118,5,0.90,7.37,5.51,-0.23,-0.03,0.10,0.38,0.21,0.53,9.11,-22.16,-23.93
2025-11-23 22:48:41.350,4,1.69,7.44,6.06,0.09,0.02,0.02,0.39,0.19,0.53,5.89,-22.74,-23.06
2025-11-23 22:48:41.499,6,1.20,7.61,5.79,-0.10,-0.04,0.05,0.38,0.19,0.54,6.75,-22.41,-25.93
2025-11-23 22:48:41.834,1,2.40,7.33,5.53,0.35,0.08,-0.07,0.41,0.14,0.53,3.34,-22.71,-24.73
2025-11-23 22:48:42.290,3,-0.01,8.10,5.15,-0.16,-0.05,-0.05,0.34,0.28,0.57,9.28,-23.23,-23.14
2025-11-23 22:48:43.399,9,-0.70,5.20,7.92,0.71,-0.65,0.14,0.22,0.19,0.50,13.03,-15.84,-29.91
2025-11-23 22:48:43.733,8,0.23,6.50,7.04,-0.04,-0.07,0.04,0.32,0.16,0.50,9.75,-18.53,-29.10
2025-11-23 22:48:43.909,7,0.77,6.22,7.31,-0.30,-0.27,-0.25,0.33,0.13,0.48,7.39,-17.96,-32.06
2025-11-23 22:48:44.801,6,-3.41,4.93,6.54,-0.17,-0.82,-0.26,0.10,0.33,0.56,21.36,-14.03,-25.20
2025-11-23 22:48:45.231,5,-4.15,4.91,7.24,0.48,-2.04,-0.08,0.19,0.29,0.49,20.44,-14.08,-23.94
2025-11-23 22:48:45.625,4,1.73,6.75,6.61,0.19,-0.29,-0.04,0.40,0.10,0.42,5.94,-20.64,-24.21
2025-11-23 22:48:46.066,2,-1.78,6.93,6.39,0.01,-0.05,0.16,0.31,0.24,0.47,11.74,-20.78,-26.25
2025-11-23 22:48:46.307,1,0.57,6.33,8.30,-0.02,0.09,0.03,0.31,0.18,0.47,10.74,-18.75,-25.43
2025-11-23 22:48:46.791,3,-3.80,4.90,7.30,-0.14,-0.00,-0.28,0.10,0.32,0.51,23.14,-10.89,-25.65
2025-11-23 22:48:47.335,6,-3.22,4.12,8.51,-0.01,-0.28,0.11,0.11,0.26,0.48,19.80,-8.96,-28.37
2025-11-23 22:48:47.677,9,-3.27,3.43,8.55,-0.44,0.72,-0.06,0.08,0.24,0.48,18.81,-8.23,-29.76
2025-11-23 22:48:48.013,8,-4.36,2.97,8.05,0.11,-0.74,0.05,0.06,0.26,0.47,19.43,-6.94,-25.09
2025-11-23 22:48:48.802,5,0.04,6.31,7.30,0.16,-0.40,0.07,0.32,0.12,0.42,8.94,-16.63,-30.00
2025-11-23 22:48:49.032,4,1.20,6.31,8.16,-0.08,0.28,-0.04,0.33,0.11,0.42,8.93,-15.17,-28.58
2025-11-23 22:48:49.300,2,-0.12,6.74,7.78,0.01,-0.62,0.22,0.29,0.18,0.46,12.23,-15.06,-27.94
2025-11-23 22:48:49.540,1,1.66,6.23,8.64,-0.09,0.40,-0.10,0.31,0.14,0.47,6.77,-16.95,-26.78
2025-11-23 22:48:49.773,3,-1.26,5.58,8.65,-0.43,1.02,-0.45,0.22,0.21,0.48,15.17,-12.77,-27.98
2025-11-23 22:48:51.273,6,-1.59,4.54,8.29,0.10,-0.08,-0.03,0.19,0.19,0.45,13.63,-12.51,-30.77
2025-11-23 22:48:51.473,7,-1.19,4.43,8.45,0.08,-0.13,-0.03,0.19,0.17,0.45,14.91,-10.91,-30.21
2025-11-23 22:48:51.673,9,-1.07,4.80,8.22,0.14,-0.12,0.02,0.20,0.17,0.45,12.86,-11.72,-30.45
2025-11-23 22:48:51.948,5,-1.61,5.56,7.75,0.00,-0.08,0.05,0.23,0.20,0.45,13.93,-14.49,-28.93
2025-11-23 22:48:52.156,4,-0.66,5.55,7.79,0.05,0.08,0.06,0.25,0.18,0.45,10.91,-16.18,-30.60
2025-11-23 22:48:52.331,8,-0.95,5.56,7.87,-0.08,-0.12,0.09,0.25,0.18,0.44,13.48,-13.97,-30.26
2025-11-23 22:48:52.681,6,-0.98,5.68,7.85,0.12,0.01,0.04,0.25,0.19,0.46,13.82,-15.32,-28.29
2025-11-23 22:48:52.789,4,-0.40,5.80,7.94,0.24,0.29,0.03,0.25,0.20,0.46,12.08,-17.98,-28.11
2025-11-23 22:48:52.979,3,-1.01,5.95,7.95,-0.04,0.07,0.02,0.25,0.22,0.48,14.29,-15.21,-27.58
2025-11-23 22:48:53.206,2,-1.28,6.40,7.52,-0.06,-0.33,0.09,0.27,0.22,0.47,15.06,-15.99,-27.30
2025-11-23 22:48:53.390,1,-0.31,5.52,8.92,-0.01,0.31,-0.04,0.26,0.20,0.48,12.39,-16.13,-27.60
2025-11-23 22:48:53.564,5,-1.97,5.50,7.66,-0.28,0.52,-0.17,0.22,0.23,0.49,14.16,-16.03,-26.94
2025-11-23 22:48:53.856,6,-2.79,4.41,8.18,-0.25,-0.14,-0.26,0.14,0.24,0.48,18.23,-11.89,-27.45
2025-11-23 22:48:54.172,9,-2.56,3.97,8.35,-0.10,-0.13,0.01,0.12,0.22,0.47,16.91,-10.91,-27.49
2025-11-23 22:48:54.339,7,-2.71,3.93,8.71,0.17,0.01,-0.02,0.12,0.22,0.47,16.84,-10.29,-29.34
2025-11-23 22:48:54.531,8,-3.04,3.99,7.99,-0.05,0.41,0.04,0.11,0.25,0.47,19.16,-9.09,-27.15
2025-11-23 22:48:54.822,5,-3.63,4.19,7.88,-0.06,-0.28,0.12,0.11,0.26,0.48,20.29,-8.04,-28.91
