Timestamp,Zone,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,RotX,RotY,RotZ,MagX,MagY,MagZ
2025-11-24 00:09:00.492,1,0.03,4.77,8.18,0.11,0.12,-0.1,0.24,-0.13,-0.49,-40.84,-7.89,-48.23
2025-11-24 00:11:33.800,1,-0.63,2.69,9.47,0.04,0.13,0.0,0.14,-0.03,-0.4,18.96,-4.5,-71.48
2025-11-25 16:07:50.562,1,-0.94,4.54,9.31,-0.09,0.01,0.0,0.25,0.06,0.1,-9.62,-13.61,-36.75
2025-11-25 16:07:59.783,1,-0.85,3.94,8.93,0.09,0.16,-0.04,0.21,0.05,0.11,-18.96,-14.19,-35.14
2025-11-25 16:08:03.225,1,-0.5,4.56,8.02,0.17,0.2,0.05,0.25,0.05,0.08,-13.46,-16.58,-34.67
2025-11-25 16:08:05.102,1,-0.4,5.16,7.48,0.15,0.05,0.09,0.28,0.06,0.08,-10.05,-17.94,-38.94
2025-11-25 16:09:24.401,1,-0.45,4.43,8.3,0.27,0.29,0.13,0.23,0.08,0.17,-24.83,-17.74,-45.24
2025-11-25 16:09:27.937,1,-0.46,4.38,8.85,0.14,0.12,0.0,0.24,0.07,0.17,-25.93,-18.77,-46.86
2025-11-25 16:09:31.367,1,0.76,4.29,11.26,0.23,0.86,0.61,0.23,-0.02,0.04,-7.33,-22.73,-42.28
2025-11-25 16:09:34.437,1,-0.33,3.65,10.96,-0.18,0.33,0.02,0.23,-0.01,0.06,-8.91,-21.96,-41.72
2025-11-25 16:09:39.893,1,-0.21,3.4,10.67,-0.01,0.3,0.04,0.24,-0.02,0.08,-10.84,-21.79,-41.29
2025-11-25 16:09:42.501,1,0.27,3.96,10.38,-0.16,0.27,0.0,0.23,-0.02,0.08,-11.55,-22.09,-41.06
2025-11-25 16:09:45.142,1,0.25,3.57,9.81,0.07,0.25,0.05,0.23,-0.02,0.09,-12.88,-21.45,-40.82
2025-11-25 16:09:47.475,1,0.05,3.13,11.24,0.06,0.51,0.19,0.23,-0.03,0.09,-12.73,-21.02,-40.58
2025-11-25 16:19:48.043,1,-0.15,0.03,7.03,0.28,0.58,0.01,0.0,-0.01,0.64,300.58,83.25,-1474.2
2025-11-25 16:19:48.844,1,0.33,-0.12,8.72,0.1,0.15,-0.0,0.0,-0.0,0.65,327.13,89.85,-1470.56
2025-11-25 16:19:54.295,1,0.03,0.02,9.0,0.15,0.26,-0.0,0.0,-0.0,0.65,564.32,164.57,-1436.59
2025-11-25 20:02:32.063,1,-2.41,6.42,8.33,-0.07,-1.0,-0.56,0.34,-0.08,-0.48,-17.72,2.51,-68.21
2025-11-25 20:02:37.705,1,-2.55,6.83,7.74,-0.26,-0.26,-0.06,0.38,-0.06,-0.42,-7.41,-20.83,-52.37
2025-11-25 20:02:42.724,1,0.76,5.21,7.65,-0.0,0.2,-0.46,0.21,-0.16,-0.48,-23.44,-12.98,-47.96
2025-11-25 20:02:45.744,1,-0.25,4.37,8.95,-0.24,0.45,-0.08,0.18,-0.16,-0.62,-25.03,-15.34,-40.18
2025-11-25 20:02:50.267,1,0.1,4.18,8.04,0.04,0.63,0.25,0.17,-0.15,-0.62,-25.91,-16.2,-37.24
2025-11-25 20:02:52.723,1,0.12,4.6,8.73,0.11,0.32,0.24,0.19,-0.13,-0.54,-24.84,-14.42,-42.41
2025-11-25 20:02:56.898,1,-0.09,4.3,8.1,-0.1,0.27,0.19,0.18,-0.15,-0.62,-24.66,-16.58,-40.76
2025-11-25 20:02:57.855,1,0.15,4.37,8.66,0.03,-0.18,-0.32,0.19,-0.13,-0.55,-22.84,-14.51,-43.97
